PROJECTS
project_id;cost;category;votes;name;target;selected;latitude;longitude
19;84000;urban greenery,public space,environmental protection;1620;Ursynów zielona dzielnica Warszawy;people with disabilities,seniors,adults,youth,children;1;;
150;444600;urban greenery,public space,public transit and roads;874;Modernizacja ulicy Poloneza;people with disabilities,seniors,adults,youth,children;0;52.1508901176675;21.007432557241998
151;72000;urban greenery,public space,environmental protection;585;Modernizacja ulicy Wodzirejów;people with disabilities,seniors,adults,youth,children;0;;
167;890000;urban greenery,public space;1864;Zielona Oś Ursynowa - Nowy Park i fontanna w otoczeniu pięknych kwiatów i ziół - obok Ratusza;seniors,adults,youth;1;52.147709545603;21.044973927834
364;940000;sport,public space,environmental protection;1218;Przebudowa drogi rowerowej wzdłuż Wąwozowej (od al. KEN do Stryjeńskich);people with disabilities,seniors,adults,youth,children;0;52.1312252157405;21.062142666793
382;1012900;urban greenery,public space,public transit and roads;785;Remont chodnika wzdłuż ulicy al. KEN;people with disabilities,seniors,adults,youth,children;0;52.15506438118153;21.036680292717097
415;22000;health,welfare,education;483;Bezpłatne kursy pierwszej pomocy;people with disabilities,seniors,adults,youth;0;52.148974716835;21.04555606842
416;51200;culture;194;Kreatywne wakacje – zajęcia plastyczne podczas akcji „Lato w Mieście”;children;0;;
417;31000;welfare,culture,education;418;Komunikacja bez przemocy w ursynowskich szkołach – warsztaty dla dzieci, rodziców i nauczycieli;people with disabilities,seniors,adults,youth,children;0;52.139691259049;21.063194274902
418;60000;culture,education;384;Bajki na trawie;adults,youth,children;0;;
426;28300;education,public space,culture;906;Iluminacje świąteczne dla mieszkańców Ursynowa - w czasie radosnego oczekiwania na święta;seniors,adults,youth,children;0;52.144096204767;21.040851473808
465;54000;public space,environmental protection,education;740;Targi Żywności, formuła wegetariańska 75%;people with disabilities,seniors,adults,youth,children;0;52.149129774681;21.045289277372
609;55000;urban greenery,sport,public space;415;Sąsiedzki Ogród Społeczny przy Miejscu Aktywności Lokalnej MAL Kłobucka 14;people with disabilities,seniors,adults,youth,children;0;52.165069731285;20.992269235395
619;14025;urban greenery,public space,environmental protection;1174;Kwiaty i ozdobne antysmogowe krzewy dla Ursynowa - niczym mała Holandia - w drodze do szkoły - pracy - domu z myślą o wszystkich mieszkańcach;seniors,adults,youth,children;1;52.13941908420667;21.053406000137333
673;67050;sport,public space,education;472;Kreatywne strefy gier podwórkowych, jako idea wykorzystania znanych z dawnych czasów zabaw podwórkowych oraz gier planszowych w dużym formacie poprzez przeniesienie ich na chodniki i dzięki temu umożliwienie wspólnych zabaw na świeżym powietrzu przez cały rok bez względu na pogodę;youth,children;0;52.142201873630995;21.0547677948515
704;40000;public space,welfare,environmental protection;282;Kulturalna Kłobucka;people with disabilities,seniors,adults,youth,children;0;52.159510083986;20.99260892719
728;942800;urban greenery,public space,public transit and roads;976;Remont chodnika wzdłuż Rosoła, Płaskowickiej i Cynamonowej;people with disabilities,seniors,adults,youth,children;0;52.147777337203;21.055595782836335
797;350000;urban greenery,public space,public transit and roads;1756;Oświetlenie ciągów pieszych i rowerowych na Ursynowie (Park Kozłowskiego, ul. Rosoła, Park Przy Bażantarni);people with disabilities,seniors,adults,youth,children;1;52.163386575421995;21.0234171152115
798;1072000;public transit and roads;229;Modernizacja parkingów przy ul. Stryjeńskich i Kulczyńskiego 9;people with disabilities,seniors,adults;0;52.140307559435;21.046467430915165
799;300000;urban greenery,public space,environmental protection;2084;Więcej tlenu, mniej pyłów i hałasu – posadzenie 200 drzew wzdłuż ulic Ursynowa;people with disabilities,seniors,adults,youth,children;1;;
812;1100000;public space,public transit and roads;1139;Doświetlenie przejść dla pieszych;people with disabilities,seniors,adults,youth,children;0;52.14268314758266;21.05513565658112
814;48170;urban greenery,public space,environmental protection;576;Powiększenie miejskiego placu zabaw wśród zieleni przy stacji metra Imielin;adults,children;0;;
839;132390;public space,environmental protection,public transit and roads;503;Dodatkowe przystanki autobusowe przy Kazury/Na Uboczu na Stryjeńskich;people with disabilities,seniors,adults,youth,children;0;52.139675319235;21.047537989211
853;455730;sport;961;Lodowisko na Ursynowie;seniors,adults,youth,children;0;52.13030383259;21.019169508221
871;548300;environmental protection,sport,education;502;Wymiana sztucznej nawierzchni na boisku piłkarskim przy ul. Na Uboczu 9;people with disabilities,seniors,adults,youth,children;0;52.138860026193;21.049328275453
872;35600;public space;304;Montaż systemu monitoringu na terenie szkoły Podstawowej nr 336 przy ul. Na Uboczu 9;people with disabilities,seniors,adults,youth,children;0;52.138888678918;21.049386944239
948;14000;public space,environmental protection;1138;Las dla ludzi - ławki zamiast samochodów;people with disabilities,seniors,adults,youth,children;0;52.164174253667;21.059503958164665
955;40000;public space;287;Montaż systemu oświetlenia solarnego przy boisku szkoły Podstawowej 336 przy ul. Na Uboczu 9;people with disabilities,seniors,adults,youth,children;0;;
